src,dst,spec,slots_used,core_src,core_dst,tfk_slot
97,66,0,15,0,0,1000.0
97,10,15,15,0,0,1000.0
96,34,0,15,0,0,1000.0
93,18,0,15,0,0,1000.0
92,62,0,15,0,0,1000.0
91,57,0,15,0,0,1000.0
90,96,15,15,0,0,1000.0
90,12,0,15,0,0,1000.0
80,88,0,15,0,0,1000.0
79,50,0,15,0,0,1000.0
79,17,15,15,0,0,1000.0
78,82,0,15,0,0,1000.0
77,61,0,15,0,0,1000.0
76,2,0,15,0,0,1000.0
74,68,0,15,0,0,1000.0
74,11,15,15,0,0,1000.0
73,46,0,15,0,0,1000.0
73,25,15,15,0,0,1000.0
72,29,0,15,0,0,1000.0
67,35,0,15,0,0,1000.0
65,2,15,15,0,0,1000.0
64,49,0,15,0,0,1000.0
64,5,15,15,0,0,1000.0
63,72,15,15,0,0,1000.0
63,33,0,15,0,0,1000.0
62,45,15,15,0,0,1000.0
60,56,0,15,0,0,1000.0
60,5,30,15,0,0,1000.0
53,88,15,15,0,0,1000.0
52,63,30,15,0,0,1000.0
52,43,0,15,0,0,1000.0
51,19,0,15,0,0,1000.0
50,65,30,15,0,0,1000.0
49,8,15,15,0,0,1000.0
48,35,15,15,0,0,1000.0
44,69,0,15,0,0,1000.0
41,62,30,15,0,0,1000.0
40,74,30,15,0,0,1000.0
39,25,0,15,0,0,1000.0
38,34,15,15,0,0,1000.0
31,98,0,15,0,0,1000.0
31,67,15,15,0,0,1000.0
30,26,0,15,0,0,1000.0
29,80,15,15,0,0,1000.0
28,76,15,15,0,0,1000.0
27,95,0,15,0,0,1000.0
27,58,15,15,0,0,1000.0
26,70,15,15,0,0,1000.0
24,86,0,15,0,0,1000.0
23,32,0,15,0,0,1000.0
23,19,15,15,0,0,1000.0
22,25,30,15,0,0,1000.0
20,99,0,15,0,0,1000.0
20,36,15,15,0,0,1000.0
18,94,15,15,0,0,1000.0
15,43,15,15,0,0,1000.0
15,4,0,15,0,0,1000.0
14,8,0,15,0,0,1000.0
12,24,15,15,0,0,1000.0
11,94,0,15,0,0,1000.0
9,22,0,15,0,0,1000.0
7,21,0,15,0,0,1000.0
6,69,15,15,0,0,1000.0
6,28,0,15,0,0,1000.0
5,37,0,15,0,0,1000.0
4,42,15,15,0,0,1000.0
3,41,0,15,0,0,1000.0
0,43,30,15,0,0,1000.0
0,2,45,15,0,0,1000.0
98,75,15,7,0,0,400.0
96,53,30,7,0,0,400.0
94,43,45,7,0,0,400.0
89,90,30,7,0,0,400.0
89,72,37,7,0,0,400.0
89,2,60,7,0,0,400.0
87,45,0,7,0,0,400.0
87,42,7,7,0,0,400.0
86,42,30,7,0,0,400.0
86,21,15,7,0,0,400.0
84,83,0,7,0,0,400.0
84,33,15,7,0,0,400.0
83,75,7,7,0,0,400.0
83,47,14,7,0,0,400.0
83,2,30,7,0,0,400.0
82,83,21,7,0,0,400.0
82,68,28,7,0,0,400.0
82,60,45,7,0,0,400.0
81,85,0,7,0,0,400.0
81,5,45,7,0,0,400.0
80,11,30,7,0,0,400.0
79,92,30,7,0,0,400.0
79,7,37,7,0,0,400.0
78,72,30,7,0,0,400.0
78,21,22,7,0,0,400.0
78,16,15,7,0,0,400.0
77,45,30,7,0,0,400.0
72,91,44,7,0,0,400.0
71,70,0,7,0,0,400.0
71,5,52,7,0,0,400.0
69,93,30,7,0,0,400.0
68,58,35,7,0,0,400.0
67,70,30,7,0,0,400.0
67,32,37,7,0,0,400.0
66,12,30,7,0,0,400.0
63,0,60,7,0,0,400.0
62,88,45,7,0,0,400.0
61,87,15,7,0,0,400.0
59,85,7,7,0,0,400.0
59,69,37,7,0,0,400.0
58,91,51,7,0,0,400.0
57,68,15,7,0,0,400.0
55,38,0,7,0,0,400.0
53,75,0,7,0,0,400.0
50,19,45,7,0,0,400.0
44,37,15,7,0,0,400.0
41,75,22,7,0,0,400.0
41,34,45,7,0,0,400.0
41,13,15,7,0,0,400.0
40,80,45,7,0,0,400.0
40,35,52,7,0,0,400.0
39,96,37,7,0,0,400.0
39,76,30,7,0,0,400.0
38,71,7,7,0,0,400.0
38,45,37,7,0,0,400.0
38,24,30,7,0,0,400.0
37,72,51,7,0,0,400.0
37,64,30,7,0,0,400.0
35,89,44,7,0,0,400.0
33,54,22,7,0,0,400.0
33,20,30,7,0,0,400.0
31,17,30,7,0,0,400.0
30,69,44,7,0,0,400.0
29,66,37,7,0,0,400.0
29,54,30,7,0,0,400.0
25,89,51,7,0,0,400.0
25,47,58,7,0,0,400.0
24,69,51,7,0,0,400.0
24,14,37,7,0,0,400.0
23,61,30,7,0,0,400.0
23,49,37,7,0,0,400.0
22,50,15,7,0,0,400.0
22,45,45,7,0,0,400.0
20,94,37,7,0,0,400.0
19,85,30,7,0,0,400.0
16,95,22,7,0,0,400.0
16,52,45,7,0,0,400.0
16,48,0,7,0,0,400.0
16,39,52,7,0,0,400.0
14,0,15,7,0,0,400.0
13,78,37,7,0,0,400.0
13,63,45,7,0,0,400.0
10,77,37,7,0,0,400.0
10,65,0,7,0,0,400.0
10,21,30,7,0,0,400.0
