src,dst,spec,slots_used,core_src,core_dst,cores_used,tfk_slot
97,66,0,41,2,2,1,1000.0
97,10,0,41,0,2,1,1000.0
93,18,0,41,0,2,1,1000.0
92,62,0,41,2,0,1,1000.0
91,57,0,41,1,2,1,1000.0
90,12,0,41,0,2,1,1000.0
87,31,0,41,1,0,1,1000.0
87,26,0,41,2,1,1,1000.0
86,72,0,41,2,1,1,1000.0
85,38,0,41,1,0,1,1000.0
81,40,0,41,2,2,1,1000.0
80,88,0,41,0,0,1,1000.0
80,62,0,41,2,1,1,1000.0
79,50,0,41,1,0,1,1000.0
79,17,0,41,2,1,1,1000.0
78,82,0,41,1,1,1,1000.0
78,71,0,41,0,0,1,1000.0
77,66,0,41,2,0,1,1000.0
77,61,0,41,0,0,1,1000.0
76,2,0,41,2,2,1,1000.0
74,68,0,41,1,0,1,1000.0
74,11,0,41,0,1,1,1000.0
73,46,0,41,2,2,1,1000.0
73,25,0,41,1,0,1,1000.0
73,20,0,41,0,2,1,1000.0
72,29,0,41,0,1,1,1000.0
67,35,0,41,2,2,1,1000.0
65,2,0,41,0,1,1,1000.0
64,49,0,41,2,1,1,1000.0
64,16,0,41,1,0,1,1000.0
64,5,0,41,0,1,1,1000.0
63,72,0,41,0,2,1,1000.0
63,33,0,41,2,1,1,1000.0
62,45,0,41,2,2,1,1000.0
61,71,0,41,2,2,1,1000.0
61,18,0,41,1,1,1,1000.0
60,99,0,41,0,0,1,1000.0
53,88,0,41,2,1,1,1000.0
52,79,0,41,0,0,1,1000.0
52,63,0,41,1,1,1,1000.0
52,43,0,41,2,2,1,1000.0
51,19,0,41,0,2,1,1000.0
50,65,0,41,2,1,1,1000.0
49,8,0,41,2,2,1,1000.0
48,44,0,41,0,0,1,1000.0
48,35,0,41,2,0,1,1000.0
46,18,0,41,0,0,1,1000.0
45,8,0,41,1,1,1,1000.0
44,69,0,41,2,0,1,1000.0
40,74,0,41,0,2,1,1000.0
38,34,0,41,1,1,1,1000.0
31,98,0,41,2,0,1,1000.0
31,67,0,41,1,1,1,1000.0
30,26,0,41,0,2,1,1000.0
29,92,0,41,2,1,1,1000.0
29,80,0,41,0,1,1,1000.0
28,76,0,41,0,0,1,1000.0
28,43,0,41,1,0,1,1000.0
27,95,0,41,2,2,1,1000.0
27,70,0,41,0,1,1,1000.0
27,58,0,41,1,1,1,1000.0
26,70,0,41,0,0,1,1000.0
24,86,0,41,0,1,1,1000.0
23,32,0,41,2,0,1,1000.0
23,19,0,41,0,0,1,1000.0
23,1,0,41,1,2,1,1000.0
22,25,0,41,0,2,1,1000.0
20,89,0,41,1,0,1,1000.0
20,36,0,41,0,1,1,1000.0
15,43,0,41,0,1,1,1000.0
15,19,0,41,2,1,1,1000.0
14,97,0,41,2,1,1,1000.0
14,8,0,41,0,0,1,1000.0
12,92,0,41,0,0,1,1000.0
11,94,0,41,2,2,1,1000.0
10,41,0,41,0,0,1,1000.0
9,53,0,41,0,0,1,1000.0
9,22,0,41,1,2,1,1000.0
7,21,0,41,0,0,1,1000.0
6,69,0,41,0,2,1,1000.0
6,28,0,41,1,2,1,1000.0
5,37,0,41,0,2,1,1000.0
4,81,0,41,2,0,1,1000.0
4,42,0,41,0,1,1,1000.0
3,41,0,41,0,2,1,1000.0
0,2,0,41,2,0,1,1000.0
96,34,41,21,0,1,2,1000.0
90,96,0,21,1,0,2,1000.0
62,80,41,21,1,1,2,1000.0
60,56,0,21,1,1,2,1000.0
60,5,41,21,1,1,2,1000.0
41,90,41,21,0,1,2,1000.0
39,25,41,21,1,1,2,1000.0
20,99,41,21,1,1,2,1000.0
18,94,41,21,0,0,2,1000.0
15,4,41,21,1,0,2,1000.0
12,24,41,21,0,1,2,1000.0
0,43,41,21,0,0,2,1000.0
99,74,62,17,2,2,1,400.0
98,75,0,17,1,2,1,400.0
96,53,62,17,0,2,1,400.0
94,43,62,17,0,1,1,400.0
91,99,0,17,0,2,1,400.0
91,45,17,17,0,0,1,400.0
89,90,41,17,0,0,1,400.0
89,72,41,17,2,2,1,400.0
89,51,0,17,1,1,1,400.0
89,2,58,17,2,2,1,400.0
87,45,0,17,0,0,1,400.0
87,42,41,17,2,2,1,400.0
86,42,0,17,0,0,1,400.0
86,21,41,17,2,1,1,400.0
86,16,41,17,0,0,1,400.0
84,83,0,17,1,0,1,400.0
84,33,41,17,2,1,1,400.0
83,77,41,17,1,0,1,400.0
83,75,0,17,2,0,1,400.0
83,47,17,17,2,0,1,400.0
83,15,41,17,0,0,1,400.0
83,2,58,17,0,0,1,400.0
82,83,0,17,0,1,1,400.0
82,68,0,17,2,2,1,400.0
81,85,41,17,2,0,1,400.0
81,5,58,17,2,0,1,400.0
80,11,62,17,2,0,1,400.0
79,92,41,17,0,2,1,400.0
79,7,41,17,2,0,1,400.0
79,2,41,17,1,1,1,400.0
78,72,41,17,2,0,1,400.0
78,21,58,17,2,0,1,400.0
78,16,41,17,1,1,1,400.0
77,45,41,17,1,2,1,400.0
73,64,41,17,2,2,1,400.0
72,91,41,17,1,0,1,400.0
71,70,41,17,2,2,1,400.0
71,5,62,17,0,2,1,400.0
68,58,17,17,2,2,1,400.0
67,70,58,17,2,2,1,400.0
67,32,41,17,2,2,1,400.0
66,12,41,17,1,2,1,400.0
63,0,41,17,2,2,1,400.0
62,88,41,17,0,2,1,400.0
61,87,41,17,1,0,1,400.0
60,48,62,17,2,2,1,400.0
59,85,0,17,0,2,1,400.0
59,69,41,17,0,0,1,400.0
59,44,0,17,1,1,1,400.0
59,15,17,17,1,1,1,400.0
58,91,0,17,0,2,1,400.0
57,68,34,17,0,2,1,400.0
55,38,0,17,0,2,1,400.0
53,75,17,17,1,0,1,400.0
53,66,58,17,0,1,1,400.0
53,22,41,17,1,2,1,400.0
51,25,41,17,0,0,1,400.0
49,78,0,17,0,2,1,400.0
48,46,41,17,2,1,1,400.0
48,12,62,17,0,1,1,400.0
44,37,41,17,2,0,1,400.0
41,75,41,17,2,0,1,400.0
41,34,58,17,2,0,1,400.0
41,13,0,17,1,0,1,400.0
40,35,0,17,1,1,1,400.0
39,96,0,17,0,2,1,400.0
39,29,62,17,2,1,1,400.0
38,97,41,17,0,0,1,400.0
38,71,17,17,2,1,1,400.0
38,45,34,17,2,0,1,400.0
38,24,62,17,2,2,1,400.0
37,72,58,17,2,1,1,400.0
37,64,58,17,0,1,1,400.0
33,20,62,17,0,1,1,400.0
31,65,41,17,2,1,1,400.0
31,44,58,17,2,0,1,400.0
31,17,41,17,1,0,1,400.0
30,69,0,17,1,1,1,400.0
29,66,41,17,2,0,1,400.0
29,54,41,17,0,1,1,400.0
28,83,41,17,2,2,1,400.0
27,83,58,17,2,2,1,400.0
26,67,41,17,2,0,1,400.0
25,89,62,17,2,1,1,400.0
25,47,0,17,1,2,1,400.0
23,61,41,17,2,2,1,400.0
23,49,58,17,2,0,1,400.0
22,50,0,17,1,1,1,400.0
22,45,58,17,1,2,1,400.0
19,7,41,17,0,1,1,400.0
16,59,0,17,2,2,1,400.0
16,52,41,17,2,1,1,400.0
16,48,17,17,2,1,1,400.0
16,39,0,17,1,2,1,400.0
14,91,17,17,1,2,1,400.0
14,0,62,17,0,1,1,400.0
13,78,41,17,1,0,1,400.0
13,63,41,17,2,0,1,400.0
10,99,62,17,0,1,1,400.0
10,77,0,17,1,1,1,400.0
10,65,17,17,1,2,1,400.0
10,21,34,17,1,2,1,400.0
9,41,17,17,2,1,1,400.0
9,27,41,17,1,0,1,400.0
8,58,41,17,2,1,1,400.0
8,33,41,17,1,0,1,400.0
7,74,58,17,1,0,1,400.0
7,2,41,17,2,0,1,400.0
2,76,41,17,2,1,1,400.0
1,82,17,17,1,2,1,400.0
1,77,41,17,0,2,1,400.0
1,43,58,17,0,2,1,400.0
0,51,17,17,0,1,1,400.0
97,96,41,9,1,2,1,200.0
92,49,41,9,1,0,1,200.0
80,22,62,9,1,0,1,200.0
71,86,41,9,1,1,1,200.0
70,59,17,9,2,2,1,200.0
69,93,41,9,1,1,2,400.0
51,66,41,9,2,2,1,200.0
51,35,58,9,0,2,1,200.0
50,19,58,9,1,0,2,400.0
48,98,41,9,0,0,1,200.0
44,79,58,9,1,0,1,200.0
40,14,41,9,0,1,1,200.0
39,76,62,9,0,1,2,400.0
38,67,58,9,0,1,1,200.0
33,46,41,9,2,2,1,200.0
32,49,58,9,2,2,1,200.0
30,95,17,9,1,0,1,200.0
27,4,62,9,0,1,1,200.0
26,22,41,9,0,1,1,200.0
19,85,41,9,1,1,2,400.0
16,95,58,9,0,1,2,400.0
10,58,51,9,1,2,1,200.0
59,30,58,7,0,0,3,400.0
99,81,0,5,1,1,1,100.0
99,77,58,5,0,1,1,100.0
99,61,41,5,0,0,1,100.0
99,30,46,5,0,2,1,100.0
99,15,5,5,1,1,1,100.0
98,77,58,5,2,2,1,100.0
98,7,58,5,0,2,1,100.0
97,85,50,5,2,2,1,100.0
97,72,58,5,2,0,1,100.0
97,63,63,5,2,2,1,100.0
97,34,41,5,2,0,1,100.0
97,23,50,5,1,0,1,100.0
97,12,62,5,0,0,1,100.0
96,98,21,5,0,2,1,100.0
95,33,0,5,0,2,1,100.0
95,18,62,5,0,1,1,100.0
95,4,67,5,2,0,1,100.0
94,22,58,5,2,2,1,100.0
93,88,0,5,2,2,1,100.0
93,62,58,5,2,0,1,100.0
93,16,34,5,2,2,1,100.0
93,2,75,5,1,2,1,100.0
92,85,58,5,2,0,1,100.0
92,73,63,5,2,0,1,100.0
92,61,46,5,0,0,1,100.0
92,39,71,5,1,1,1,100.0
92,13,41,5,0,0,1,100.0
91,94,34,5,0,0,1,100.0
91,85,34,5,2,2,1,100.0
91,52,41,5,2,0,1,100.0
91,19,67,5,0,0,1,100.0
91,12,58,5,0,2,1,100.0
91,2,58,5,1,1,1,100.0
90,70,62,5,2,1,1,100.0
90,66,62,5,1,2,1,100.0
90,52,67,5,2,2,1,100.0
90,21,21,5,1,2,1,100.0
89,91,72,5,0,0,1,100.0
89,82,17,5,1,0,1,100.0
89,66,75,5,2,2,1,100.0
89,11,22,5,1,0,1,100.0
89,0,0,5,2,0,1,100.0
87,97,68,5,2,2,1,100.0
87,93,50,5,1,2,1,100.0
87,88,58,5,2,2,1,100.0
87,73,58,5,0,0,1,100.0
87,58,34,5,0,2,1,100.0
87,51,41,5,1,1,1,100.0
87,4,55,5,1,2,1,100.0
86,74,58,5,0,1,1,100.0
86,66,75,5,1,1,1,100.0
86,28,63,5,0,0,1,100.0
86,14,58,5,2,1,1,100.0
85,97,55,5,2,1,1,100.0
85,92,63,5,0,1,1,100.0
85,5,17,5,2,2,1,100.0
84,99,17,5,2,2,1,100.0
83,89,17,5,0,2,1,100.0
83,55,22,5,0,1,1,100.0
83,40,58,5,1,0,1,100.0
83,29,63,5,1,2,1,100.0
82,66,22,5,0,1,1,100.0
82,3,34,5,2,2,1,100.0
81,92,51,5,1,0,1,100.0
81,78,58,5,1,0,1,100.0
81,67,5,5,1,0,1,100.0
81,65,75,5,2,1,1,100.0
81,64,41,5,1,0,1,100.0
81,42,41,5,0,0,1,100.0
81,1,10,5,1,1,1,100.0
80,34,46,5,0,0,1,100.0
80,19,51,5,0,2,1,100.0
79,87,63,5,2,0,1,100.0
79,75,58,5,1,0,1,100.0
79,58,63,5,1,0,1,100.0
79,46,68,5,1,0,1,100.0
79,43,75,5,2,2,1,100.0
79,6,73,5,1,1,1,100.0
78,95,26,5,2,0,1,100.0
78,87,75,5,2,1,1,100.0
78,23,58,5,1,0,1,100.0
78,22,71,5,1,0,1,100.0
77,72,63,5,2,0,1,100.0
77,71,58,5,0,2,1,100.0
77,67,17,5,1,0,1,100.0
77,51,22,5,1,2,1,100.0
77,48,63,5,0,1,1,100.0
77,29,63,5,1,0,1,100.0
76,59,41,5,2,2,1,100.0
76,42,0,5,1,2,1,100.0
76,15,58,5,0,0,1,100.0
76,10,46,5,2,0,1,100.0
75,44,34,5,0,1,1,100.0
74,93,41,5,1,0,1,100.0
74,81,46,5,2,1,1,100.0
74,71,50,5,1,1,1,100.0
