beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb,connection_he,throughput_he,obj_he
0.0,916.0,238600.0,916.0,0.0,0.0,0.0,853.0,175600.0,853.0
1e-05,917.0,240550.0,919.4055,0.0,0.0,0.0,853.0,175600.0,854.756
2e-05,917.0,240550.0,921.811,0.0,0.0,0.0,853.0,175600.0,856.512
4e-05,917.0,239600.0,926.584,0.0,0.0,0.0,853.0,175600.0,860.024
8e-05,917.0,240550.0,936.244,0.0,0.0,0.0,853.0,175600.0,867.048
0.0001,916.0,238600.0,939.86,0.0,0.0,0.0,853.0,175600.0,870.56
0.0002,917.0,239600.0,964.92,0.0,0.0,0.0,853.0,175600.0,888.12
0.0004,916.0,239550.0,1011.82,0.0,0.0,0.0,853.0,175600.0,923.24
0.0008,917.0,239600.0,1108.68,0.0,0.0,0.0,853.0,175600.0,993.48
0.001,917.0,239600.0,1156.6,0.0,0.0,0.0,853.0,175600.0,1028.6
0.002,917.0,239600.0,1396.2,0.0,0.0,0.0,853.0,175600.0,1204.2
0.004,911.0,242050.0,1879.2,0.0,0.0,0.0,657.0,236100.0,1601.4
0.008,911.0,242150.0,2848.2,0.0,0.0,0.0,657.0,236100.0,2545.8
0.01,910.0,242950.0,3339.5,0.0,0.0,0.0,657.0,236100.0,3018.0
0.02,899.0,245200.0,5803.0,0.0,0.0,0.0,657.0,236100.0,5379.0
0.04,877.0,247850.0,10791.0,0.0,0.0,0.0,657.0,236100.0,10101.0
0.08,712.0,258550.0,21396.0,0.0,0.0,0.0,657.0,236100.0,19545.0
0.1,709.0,257400.0,26449.0,0.0,0.0,0.0,657.0,236100.0,24267.0
0.2,699.0,256950.0,52089.0,0.0,0.0,0.0,657.0,236100.0,47877.0
0.4,673.0,259400.0,104433.0,0.0,0.0,0.0,657.0,236100.0,95097.0
1.0,686.0,257150.0,257836.0,0.0,0.0,0.0,657.0,236100.0,236757.0
10.0,701.0,259050.0,2591201.0,0.0,0.0,0.0,657.0,236100.0,2361657.0
